Threat1,Threat2
Residential & commercial development,Housing/urban areas
Residential & commercial development,Commercial/industrial areas
Residential & commercial development,Tourism/recreation areas
Agriculture & aquaculture,Annual/perennial non-timber crops
Agriculture & aquaculture,Wood/pulp plantations
Agriculture & aquaculture,Livestock farm/ranch
Energy production & mining,Oil/gas drilling
Energy production & mining,Mining/quarrying
Energy production & mining,Renewable energy
Transportation & service corridors,Roads/railroads
Transportation & service corridors,Utility/service lines
Transportation & service corridors,Shipping lanes
Transportation & service corridors,Flight paths
Biological resource use,Hunting/trapping terrestrial animals
Biological resource use,Gathering terrestrial plants
Biological resource use,Logging/wood harvesting
Biological resource use,Harvest aquatic resource
Human intrusions & disturbance,Recreational activities
Human intrusions & disturbance,"War, civil unrest & military exercises"
Human intrusions & disturbance,Work & other activities
Natural system modifications,Fire/suppression
Natural system modifications,Water managment/use
Natural system modifications,Other ecosystem modifications
Invasive & other problematic species & genes,Invasive non-native species
Invasive & other problematic species & genes,Problematic native species
Invasive & other problematic species & genes,Introduced genetic material
Pollution,Domest/urban wastewater
Pollution,Industrial/military effluents
Pollution,Agriculture/forestry effluents
Pollution,Garbage & solid waste
Pollution,Air-borne pollutants
Pollution,Excess energy
Geological events,Volcanoes
Geological events,Earthquakes/tsunamis
Climate change & severe weather,Avalanches/landslides
Climate change & severe weather,Habitat shifting & alteration
Climate change & severe weather,Droughts
Climate change & severe weather,Temperature extremes
Climate change & severe weather,Storms/flooding
Other,Other impacts
Agriculture & aquaculture,Marine & freshwater aquaculture